month_of_action_date,career,score_reason,additional_comment,cleaned_text
2024-09-01,sen,Resource Quality,"When I planned to buy an annual membership for this school year last year, it was about $15 cheaper.",when i planned to buy an annual membership for this school year last year it was about 15 cheaper
2024-09-01,US Grade 2,Resource Quality,This is a wonderful resource and I will tell others about it. You are very transparent about membership and kind to note when trial is expiring.,this is a wonderful resource and i will tell others about it you are very transparent about membership and kind to note when trial is expiring
2024-09-01,sen,Variety of Materials,"Lessons on using a computer, internet for Special Education students. Lessons that have presentations, worksheets, and interactive lessons.",lessons on using a computer internet for special education students lessons that have presentations worksheets and interactive lessons
2024-09-01,ks5,Variety of Materials,I need computer science material but twinkl only has a few things. I saw some math stuff that could be applied but not enough to justify a membership,i need computer science material but twinkl only has a few things i saw some math stuff that could be applied but not enough to justify a membership
2024-09-01,US Grade 2,Variety of Materials,I’m not a teacher just a parent looking for extra resources. Most of the files are available for free online,i’m not a teacher just a parent looking for extra resources most of the files are available for free online
2024-09-01,US Grade 4,Variety of Materials,I was looking for resources for 4th & 5th grade Jewish students but there isn't enough to warrant the membership. Thanks anyway.,i was looking for resources for 4th 5th grade jewish students but there isnt enough to warrant the membership thanks anyway
2024-09-01,US Kindergarten,Variety of Materials,Resources for Spanish Inmersion Programs in the US not only Hispanic Month. I nee all materials in Spanish.,resources for spanish inmersion programs in the us not only hispanic month i nee all materials in spanish
2024-09-01,US Grade 3,Variety of Materials,I have no complaints but didn’t use anything on the website in the 30 day trial period. I’m sure everything is wonderful!,i have no complaints but didn’t use anything on the website in the 30 day trial period i’m sure everything is wonderful
2024-09-01,ey,Variety of Materials,The Shia resources I was looking at were not satisfactory. It was not written or done by Shia sources.,the shia resources i was looking at were not satisfactory it was not written or done by shia sources
2024-09-01,US Grade 6,Variety of Materials,"I am not using this membership at all. I didn't realize that the free trial had ended and that I was being charged. I would like a refund for the last two payments, please. Thank you!",i am not using this membership at all i didnt realize that the free trial had ended and that i was being charged i would like a refund for the last two payments please thank you
2024-09-01,ey,Price,I think for teachers who really put their all into their work and buy supplies with their own money shouldn't have to pay too much for something like this. It's a great site but too expensive for membership.,i think for teachers who really put their all into their work and buy supplies with their own money shouldnt have to pay too much for something like this its a great site but too expensive for membership
2024-09-01,US Grade 1,Price,I can’t remember but there has been several times I have specifically looked for items that just do not populate. I found a different site that offers material along state standards and is slightly cheaper than twinkle.,i can’t remember but there has been several times i have specifically looked for items that just do not populate i found a different site that offers material along state standards and is slightly cheaper than twinkle
2024-09-01,ey,Price,I cannot afford this monthly fee at this moment. I hope to see return! Keep up the good work Twinkl and Team are doing!,i cannot afford this monthly fee at this moment i hope to see return keep up the good work twinkl and team are doing
2024-09-01,US Grade 3,Resource Quality,There were often issues with having the correct printing format or downloads being too large to view.,there were often issues with having the correct printing format or downloads being too large to view
2024-09-01,US Grade 3,Variety of Materials,I teach in a PRTF and unfortunately do not currently have any students in my classroom until possibly January.,i teach in a prtf and unfortunately do not currently have any students in my classroom until possibly january
2024-09-01,US Grade 3,Price,I feel I need more material for 3-5 and when I click those grade levels on many topics there is nothing.,i feel i need more material for 35 and when i click those grade levels on many topics there is nothing
2024-09-01,US Grade 3,Resource Quality,"i created an account w a membership to get answers for ONE worksheet, cancelled the subscription, but yall made it so fucking difficult that apparently ive been paying $9.00 a month FOR MONTHS NOW. so fuck yall and all of yalls moms",i created an account w a membership to get answers for one worksheet cancelled the subscription but yall made it so fucking difficult that apparently ive been paying 900 a month for months now so fuck yall and all of yalls moms
2024-09-01,US Grade 4,Resource Quality,I am working with ages 18-22 now and there are not a lot of resources for that group of students with special needs.,i am working with ages 1822 now and there are not a lot of resources for that group of students with special needs
2024-09-01,US Grade 5,Resource Quality,More rigorous resources for gifted learners. The ones available are not challenging enough for the students I work with.,more rigorous resources for gifted learners the ones available are not challenging enough for the students i work with
2024-09-01,US Grade 5,Resource Quality,I purchased it for my daughter during the summer months but now she is back in school and is not in need of resources. Thank you for your great resources and activities!!,i purchased it for my daughter during the summer months but now she is back in school and is not in need of resources thank you for your great resources and activities
2024-09-01,US Grade 4,Resource Quality,This is a great place to find worksheets and resources for teaching. Unfortunately I am no longer using the site.,this is a great place to find worksheets and resources for teaching unfortunately i am no longer using the site
2024-09-01,US Grade 6,Variety of Materials,"Science Worksheets, specifically about wind altitude, density, air pressure. Most of what I see are just projects, not worksheets.",science worksheets specifically about wind altitude density air pressure most of what i see are just projects not worksheets
2024-09-01,sen,Variety of Materials,Resources are really geared for elementary teachers -- did not find enough resources geared for Special Education High school students to justify the price of the subscription,resources are really geared for elementary teachers did not find enough resources geared for special education high school students to justify the price of the subscription
2024-09-01,US Grade 6,Variety of Materials,"I was charged today without my knowledge. Please cancel my subscription and refund the amount. 
 Thanks.",i was charged today without my knowledge please cancel my subscription and refund the amount thanks
2024-09-01,US Grade 4,Customer Service,I did not sign up for the Ultimate Subscription and was charged anyway. I have been on hold with Customer Service for an hour. I will be calling my credit card company to block any further charges. Please cancel my account and refund charges!,i did not sign up for the ultimate subscription and was charged anyway i have been on hold with customer service for an hour i will be calling my credit card company to block any further charges please cancel my account and refund charges
2024-09-01,US Kindergarten,Customer Service,Hope have some story come with or reading come with . And hope pictures could be more cute and beautiful,hope have some story come with or reading come with and hope pictures could be more cute and beautiful
2024-09-01,US Grade 6,Customer Service,Thais subscription is a scam stealing money from hard working educators. You should be ashamed of the way you run your business.,thais subscription is a scam stealing money from hard working educators you should be ashamed of the way you run your business
2024-09-01,US Grade 2,Customer Service,I have not logged in all year. I didn't even realize I was being charged. I would like to get a refund please.,i have not logged in all year i didnt even realize i was being charged i would like to get a refund please
2024-09-01,ey,Customer Service,"It's really unfortunate how difficult it is to cancel this service. You are taking advantage of teachers who have little time and resources by making us jump through hoops to cancel. This really sours my opinion of your website, which I enjoyed using in general but I need to cancel because as a teacher, I do not have unlimited resources to keep paying for subscriptions that trap you. That is all. Goodbye.",its really unfortunate how difficult it is to cancel this service you are taking advantage of teachers who have little time and resources by making us jump through hoops to cancel this really sours my opinion of your website which i enjoyed using in general but i need to cancel because as a teacher i do not have unlimited resources to keep paying for subscriptions that trap you that is all goodbye
2024-09-01,Other,Customer Service,I have been trying to cancel this member ship for three months. Nobody ever picks up when I call and emails were not answered. I used this site once for a flyer and you have charged me for 3 months.,i have been trying to cancel this member ship for three months nobody ever picks up when i call and emails were not answered i used this site once for a flyer and you have charged me for 3 months
2024-09-01,US Grade 2,Customer Service,"The membership was activated by mistake, and I found it difficult to navigate the cancellation process. I am frustrated and unsatisfied.",the membership was activated by mistake and i found it difficult to navigate the cancellation process i am frustrated and unsatisfied
2024-09-01,US Grade 3,Customer Service,"I did not subscribe to a monthly paid subscription, the username is wrong, and I never entered a card. Charges have come out of my account with a fake card number I don't have. I am reporting Twinkl for fraud and scamming educators who sacrifice so much to help others. Shame on you.",i did not subscribe to a monthly paid subscription the username is wrong and i never entered a card charges have come out of my account with a fake card number i dont have i am reporting twinkl for fraud and scamming educators who sacrifice so much to help others shame on you
2024-09-01,US Grade 7,Customer Service,"I’ve requested my service to be cancelled several time, but I keep getting billed through PayPal. If this does not work, I plan on reporting this to PayPal and possibly taking legal action to get past monthly fees back. All future reviews or ratings I give for twinkl - as well as word of mouth comments to other teachers - will be negative, especially with all the screens I had to repeatedly go through to get here. VERY dissatisfied.",i’ve requested my service to be cancelled several time but i keep getting billed through paypal if this does not work i plan on reporting this to paypal and possibly taking legal action to get past monthly fees back all future reviews or ratings i give for twinkl as well as word of mouth comments to other teachers will be negative especially with all the screens i had to repeatedly go through to get here very dissatisfied
2024-09-01,US Grade 7,Customer Service,"You HAVE to make it easier to unsubscribe!! I have been trying for six months, and even though I supposedly am unsubscribed, you keep taking money out of my account. Or should I say stealing? I would like a refund of all of the bank withdrawals you have made.",you have to make it easier to unsubscribe i have been trying for six months and even though i supposedly am unsubscribed you keep taking money out of my account or should i say stealing i would like a refund of all of the bank withdrawals you have made
2024-09-01,sen,Ease of Website,I did not even know I had reactivated my memberbship and it was really hard figuring out how to cancel.,i did not even know i had reactivated my memberbship and it was really hard figuring out how to cancel
2024-09-01,esl,Ease of Website,I thought I wasn't going to get drafted because it was very difficult to cancel and see how I was going to pay for it. I'd like a refund.,i thought i wasnt going to get drafted because it was very difficult to cancel and see how i was going to pay for it id like a refund
2024-09-01,US Grade 5,Ease of Website,"I stopped using Twinkl a long time ago and forgot about it. I had no problem with your service, I just despise subscriptions so I'll never be anything but disappointed.",i stopped using twinkl a long time ago and forgot about it i had no problem with your service i just despise subscriptions so ill never be anything but disappointed
2024-09-01,sen,Ease of Website,I have paid for the next month so I better have full access until October 14th . This is not clear. I should have access and then is unclear. Your website is very abnoxious to canel - therefore I will never join you again;.,i have paid for the next month so i better have full access until october 14th this is not clear i should have access and then is unclear your website is very abnoxious to canel therefore i will never join you again
2024-09-01,adult educator,Ease of Website,"Resources are great for elementary school, some for middle school, but they are too easy for high school. This site is more useful for elementary education.",resources are great for elementary school some for middle school but they are too easy for high school this site is more useful for elementary education
2024-09-01,US Kindergarten,Ease of Website,"I couldn't find any graphics for hand signals for going to restroom, getting a tissue, needing a pencil, etcetera. That was the main thing I joined to find.",i couldnt find any graphics for hand signals for going to restroom getting a tissue needing a pencil etcetera that was the main thing i joined to find
2024-09-01,sen,Price,This account was signed in through my old schools email address. I never received any emails and was unaware I had this membership still. Was not impressed being charged and I would like my money back. I have not used this program in over a year and I will not be using it.,this account was signed in through my old schools email address i never received any emails and was unaware i had this membership still was not impressed being charged and i would like my money back i have not used this program in over a year and i will not be using it
2024-09-01,US Grade 5,Price,Please refund my subscription of $89.88 usd. I haven't used this service for over a year and don't plan to utilize it now and in the future.,please refund my subscription of 8988 usd i havent used this service for over a year and dont plan to utilize it now and in the future
2024-09-01,US Grade 3,Price,I didn't realize my free trial ended and paid over $100 without knowing it... other than that it's been great.,i didnt realize my free trial ended and paid over 100 without knowing it other than that its been great
2024-09-01,adult educator,Price,You all should really consider sending people reminder emails when the subscription is going to renew!,you all should really consider sending people reminder emails when the subscription is going to renew
2024-09-01,US Grade 6,Price,I did a free trial and forgot that I subscribed until over the summer when the payment kept getting declined for lack of funds. I don’t use the resources very often so I can’t justify the money continuing to come out of my account.,i did a free trial and forgot that i subscribed until over the summer when the payment kept getting declined for lack of funds i don’t use the resources very often so i can’t justify the money continuing to come out of my account
2024-09-01,US Grade 8,Price,"I enjoy the resources but money is very tight. If you could refund my recent payment, I'd appreciate it. Thank you",i enjoy the resources but money is very tight if you could refund my recent payment id appreciate it thank you
2024-09-01,US Kindergarten,Ease of Website,"It's really difficult to navigate and find what i need. Searching brings up a slew on things, some related some not. Going to second or sub sections still feels like it's a jumble. Honestly, the most effective way i found was to Google specific resources i needed, and click a direct link to it on here vs trying to find it solely using this site.",its really difficult to navigate and find what i need searching brings up a slew on things some related some not going to second or sub sections still feels like its a jumble honestly the most effective way i found was to google specific resources i needed and click a direct link to it on here vs trying to find it solely using this site
2024-09-01,US Grade 1,Ease of Website,The price of the unlimited membership has gone up $40 in two years and the resources are exactly the same. I can afford this but I refuse this type of price gouging. See ya.,the price of the unlimited membership has gone up 40 in two years and the resources are exactly the same i can afford this but i refuse this type of price gouging see ya
2024-09-01,US Grade 6,Price,"I thought once you bought a membership you had access to resources forever, that's why I bought it the first time instead of going with competitors.",i thought once you bought a membership you had access to resources forever thats why i bought it the first time instead of going with competitors
2024-09-01,US Grade 3,Resource Quality,"Your material is fantastic. I am not teaching these grade levels anymore (because we lost the grant for our elementary after-school program) and don't need the product.
 If we get the grant again, I'll be back!",your material is fantastic i am not teaching these grade levels anymore because we lost the grant for our elementary afterschool program and dont need the product if we get the grant again ill be back
2024-10-01,US Pre K,Price,Don’t make it impossible to cancel membership shame on you for trying to scalp money out of already low paid teachers,don’t make it impossible to cancel membership shame on you for trying to scalp money out of already low paid teachers
2024-10-01,US Pre K,Variety of Materials,"Just been hit with extra expenses due to Hurricane Helene (lost all food, damaged electronics, now black mold has shown up) and can’t afford to renew.",just been hit with extra expenses due to hurricane helene lost all food damaged electronics now black mold has shown up and can’t afford to renew
2024-10-01,US Grade 8,Resource Quality,"I needed AI to create lesson plans that have a specified format and that's not a choice. It also have a very poorly written lesson plan that could have taken me the same amount of time it took to fill out the ai form. If you are interested in a teacher to help make the ai work better, feel free to email. Because that's not what most of us need.",i needed ai to create lesson plans that have a specified format and thats not a choice it also have a very poorly written lesson plan that could have taken me the same amount of time it took to fill out the ai form if you are interested in a teacher to help make the ai work better feel free to email because thats not what most of us need
2024-10-01,Other,Resource Quality,I need colorful handout that I can print out with basic facts about the holiday. I am using these at university events for outreach.,i need colorful handout that i can print out with basic facts about the holiday i am using these at university events for outreach
2024-10-01,US Grade 7,Resource Quality,You had an activity for Donald Trump and not one for Kamala Harris. Donald Trump has 34 felons. He does not need to be celebrated. This is why I am cancelling. You probably think that Donald trump is a good human and he is not.,you had an activity for donald trump and not one for kamala harris donald trump has 34 felons he does not need to be celebrated this is why i am cancelling you probably think that donald trump is a good human and he is not
2024-10-01,US Grade 1,Resource Quality,"Keep doing what you're doing. I love all the resource materials. It is very helpful to a stressful job, like teaching.",keep doing what youre doing i love all the resource materials it is very helpful to a stressful job like teaching
2024-10-01,Other,Variety of Materials,I was looking for anatomy when I did find something close to what I needed I wasn’t able to download or print it… couldn’t find file not even in spam,i was looking for anatomy when i did find something close to what i needed i wasn’t able to download or print it… couldn’t find file not even in spam
2024-10-01,home ed,Variety of Materials,"history related: Ottoman Empire, New Zealand Waitangi Treatment, Napoleon, Shaka Zulu, Captain Cook/Tahiti, ...",history related ottoman empire new zealand waitangi treatment napoleon shaka zulu captain cooktahiti
2024-10-01,home ed,Variety of Materials,"I had originally wanted to purchase something outright, but it wasn't available to buy ""a la carte"" so had to sign-up for a membership.",i had originally wanted to purchase something outright but it wasnt available to buy a la carte so had to signup for a membership
2024-10-01,US Grade 8,Variety of Materials,Make it easier to find out how to cancel membership. I had to google the process because there wasn't an obvious link on the membership screen.,make it easier to find out how to cancel membership i had to google the process because there wasnt an obvious link on the membership screen
2024-10-01,parent,Variety of Materials,I am homeschooling and having health issues. If it were free I would absolutely stay. I really enjoy the content. It's very helpful. Thank you.,i am homeschooling and having health issues if it were free i would absolutely stay i really enjoy the content its very helpful thank you
2024-10-01,US Pre K,Variety of Materials,I don't use it as often as I thought I would. In the future I will when my children become old enough to use the material I got,i dont use it as often as i thought i would in the future i will when my children become old enough to use the material i got
2024-10-01,ey,Variety of Materials,"The site is great and the resources are amazing! Unfortunately, I just can't afford any additional bills at the moment. Keep up the great work and hopefully I'll be able to join again soon! Thank you!",the site is great and the resources are amazing unfortunately i just cant afford any additional bills at the moment keep up the great work and hopefully ill be able to join again soon thank you
2024-10-01,US Grade 6,Variety of Materials,Please refund $89.88. I know my membership was renewed October 8 but I truly can'y afford it right now. I have student loans ($414 monthly payment and I pay $800 a month for childcare). Please refund payment and cancel my membership please.,please refund 8988 i know my membership was renewed october 8 but i truly cany afford it right now i have student loans 414 monthly payment and i pay 800 a month for childcare please refund payment and cancel my membership please
2024-10-01,US Grade 1,Variety of Materials,"My school subscribed with the email address primaryb@nextgenerationschool.com. I did not know my subscription was reoccurring so would very much appreciate a refund. It was because of me, my school heard of twinkl and set up a school account. Thank you for your support.",my school subscribed with the email address primarybnextgenerationschoolcom i did not know my subscription was reoccurring so would very much appreciate a refund it was because of me my school heard of twinkl and set up a school account thank you for your support
2024-10-01,US Grade 3,Variety of Materials,"My district is requiring a pre-approval on all school subscriptions, so I will renew once I have acquired the approval from the district office.",my district is requiring a preapproval on all school subscriptions so i will renew once i have acquired the approval from the district office
2024-10-01,US Grade 8,Ease of Website,"You advertise UNLIMITED downloads but when I downloaded what was deemed to be too much a 24 hold was put on my account. That is not my definition of unlimited. My definition is how much I want, when I want. If it is limited to x number of downloads in y amount of time, it should be advertised that way, not as unlimited.",you advertise unlimited downloads but when i downloaded what was deemed to be too much a 24 hold was put on my account that is not my definition of unlimited my definition is how much i want when i want if it is limited to x number of downloads in y amount of time it should be advertised that way not as unlimited
2024-10-01,parent,Price,"The price is an issue right now because I've only used this application once or twice. 
 Other than that I've fully enjoyed the amount of material offered and when things settle down a bit I'll probably renew my subscription",the price is an issue right now because ive only used this application once or twice other than that ive fully enjoyed the amount of material offered and when things settle down a bit ill probably renew my subscription
2024-10-01,US Grade 8,Customer Service,I would like to request a refund from my charge on 10.29. I did not authorize that. I cancelled my membership in Sept and did not authorize this new membership!!,i would like to request a refund from my charge on 1029 i did not authorize that i cancelled my membership in sept and did not authorize this new membership
2024-10-01,ey,Customer Service,"I have tried multiple times to cancel and I kept getting charged over and over again! That is astronomical, the amount of money i’ve wasted because yall keep charging me is crazy! I’m contacting my bank to be refunded",i have tried multiple times to cancel and i kept getting charged over and over again that is astronomical the amount of money i’ve wasted because yall keep charging me is crazy i’m contacting my bank to be refunded
2024-10-01,US Grade 3,Customer Service,I tried to cancel the membership I wasn’t aware I had and someone on the phone told me they would cancel it and refund me but I was charged 8 more months,i tried to cancel the membership i wasn’t aware i had and someone on the phone told me they would cancel it and refund me but i was charged 8 more months
2024-10-01,ks3,Customer Service,I canceled my subscription already and you charged me again for annual membership. I am reporting this as fraud,i canceled my subscription already and you charged me again for annual membership i am reporting this as fraud
2024-10-01,US Grade 2,Ease of Website,You should give notifications for when taking money out i was using it as a one time thing and now I'm in debt because it just took money out of my account.,you should give notifications for when taking money out i was using it as a one time thing and now im in debt because it just took money out of my account
2024-10-01,ey,Price,"I was billed *89 $ for a second year, though i thought I had cancelled a year ago.The first time i knew I was still subscribed was when i
 I saw the bill for a follow on year. ideally you will refund the charge from 10/22/2024.",i was billed 89 for a second year though i thought i had cancelled a year agothe first time i knew i was still subscribed was when i i saw the bill for a follow on year ideally you will refund the charge from 10222024
2024-10-01,sen,Price,I had cancelled this subscription over a year ago and was charged again for it. I am very unhappy with this.,i had cancelled this subscription over a year ago and was charged again for it i am very unhappy with this
2024-10-01,parent,Price,"It's not great to charge a relatively expensive subscription fee for educators who are already making pennies, and in return we receive mediocre products that we have to edit and change anyway. Its better to use TeachersPayTeachers. At least that way you can support a fellow educator who is also poor.",its not great to charge a relatively expensive subscription fee for educators who are already making pennies and in return we receive mediocre products that we have to edit and change anyway its better to use teacherspayteachers at least that way you can support a fellow educator who is also poor
2024-10-01,US Grade 2,Price,"I was under the impression this was free and I have not used the service however, i was charged for this",i was under the impression this was free and i have not used the service however i was charged for this
2024-10-01,US Grade 1,Price,I would like the last payment refunded to my account. I'm very unhappy that you took 89.88. out of my account.,i would like the last payment refunded to my account im very unhappy that you took 8988 out of my account
2024-10-01,US Grade 4,Price,Price not worth the little amount of use - variety of content would be good. Maybe will come back but not now,price not worth the little amount of use variety of content would be good maybe will come back but not now
2024-10-01,parent,Price,"I joined for a trial, cancelled and now being charged close to 100$ for something that i canceled. Will be disputing this with my bank ASAP.",i joined for a trial cancelled and now being charged close to 100 for something that i canceled will be disputing this with my bank asap
2024-10-01,ey,Price,"Love the site, wish there were more Licensed (Disney, specific cartoon) pages but overall very satisfied. Just cannot afford any extra subscriptions right now.",love the site wish there were more licensed disney specific cartoon pages but overall very satisfied just cannot afford any extra subscriptions right now
2024-10-01,US Pre K,Price,We are not currently doing home-schooling and don't really need access to these materials at the moment. I believe it is a great resource and we will be looking into it more seriously if we decide to do homeschooling with our children.,we are not currently doing homeschooling and dont really need access to these materials at the moment i believe it is a great resource and we will be looking into it more seriously if we decide to do homeschooling with our children
2024-10-01,ks4,Resource Quality,"I believe I cancelled the membership immediately after I signed up because I realized there is nothing I can use on the site. I would like to be reimbursed for the months I paid for this- I have not used it at all, and feel that I was trapped into this subscription unwillingly.",i believe i cancelled the membership immediately after i signed up because i realized there is nothing i can use on the site i would like to be reimbursed for the months i paid for this i have not used it at all and feel that i was trapped into this subscription unwillingly
2024-10-01,US Grade 5,Resource Quality,"I’m annoyed because I cancelled the membership earlier this month, but it charged me. Apparently I have to click cancel 3-4 times to actually cancel. Very frustrating.",i’m annoyed because i cancelled the membership earlier this month but it charged me apparently i have to click cancel 34 times to actually cancel very frustrating
2024-10-01,ks3,Resource Quality,"I am a world languages teacher looking for vocabulary/ grammar worksheets for levels A1/A2/B1 in French, Spanish, and Chinese, reading passages in the target language, and cultural unit supports.",i am a world languages teacher looking for vocabulary grammar worksheets for levels a1a2b1 in french spanish and chinese reading passages in the target language and cultural unit supports
2024-10-01,home ed,Resource Quality,I wasn't notified of a $90 payment that came out of my account today. A reminder would be nice to have received so I had the option to renew or cancel. i seriously thought I cancelled my subscription back in January. I did download a pdf a few days ago but I figured it was in the free section seeing as I was able to do so with no warnings saying it would automatically renew my subscription.,i wasnt notified of a 90 payment that came out of my account today a reminder would be nice to have received so i had the option to renew or cancel i seriously thought i cancelled my subscription back in january i did download a pdf a few days ago but i figured it was in the free section seeing as i was able to do so with no warnings saying it would automatically renew my subscription
2024-10-01,US Grade 6,Resource Quality,I’ve been paying double per month because I guess I signed up on two emails and I haven’t heard back from customer service to cancel one of them,i’ve been paying double per month because i guess i signed up on two emails and i haven’t heard back from customer service to cancel one of them
2024-10-01,US Grade 4,Resource Quality,I used the resource for a goal in a peds hospital for a year and we met our goal. We no longer need the resource.,i used the resource for a goal in a peds hospital for a year and we met our goal we no longer need the resource
2024-10-01,ks3,Variety of Materials,"you make us say we want to cancel THREE TIMES. ""we're sad to see you go"" leads one to believe iyt has been cancelled. I cancelled LAST month, but now I am charged AGAIN and I see I had to say ""cancel anyway"" THREE times. not cool.",you make us say we want to cancel three times were sad to see you go leads one to believe iyt has been cancelled i cancelled last month but now i am charged again and i see i had to say cancel anyway three times not cool
2024-10-01,sen,Variety of Materials,"I was searching for resources for high school vocational students. I found very little and don't want to pay for something I don't use. If you get more vocational resources, let me know.",i was searching for resources for high school vocational students i found very little and dont want to pay for something i dont use if you get more vocational resources let me know
2024-10-01,US Grade 7,Variety of Materials,I am looking for color by number activities for multiple 6-8 math standards and I am looking for more practice worksheets for 6-8 math standards.,i am looking for color by number activities for multiple 68 math standards and i am looking for more practice worksheets for 68 math standards
2024-10-01,US Grade 5,Variety of Materials,"I don't know how I got changed to the $8/month subscription, definitely not using it enough to warrant that.",i dont know how i got changed to the 8month subscription definitely not using it enough to warrant that
2024-10-01,US Pre K,Variety of Materials,I don't like it taken off my debit card. Every month my card gets locked because I have to pay for your membership and also charged a fee for you being international. I would rather not have the hassle of going to the bank every time my card is locked.,i dont like it taken off my debit card every month my card gets locked because i have to pay for your membership and also charged a fee for you being international i would rather not have the hassle of going to the bank every time my card is locked
2024-10-01,sen,Variety of Materials,Visual activities for various speech therapy goals that don't require cutting or pasting a print-out. What I mostly found here were printable posters.,visual activities for various speech therapy goals that dont require cutting or pasting a printout what i mostly found here were printable posters
2024-10-01,US Grade 3,Variety of Materials,Biden Harris administration has ruined this economy and inflation is through the roof. It’s so expensive to just buy groceries and gas.,biden harris administration has ruined this economy and inflation is through the roof it’s so expensive to just buy groceries and gas
2024-10-01,sen,Variety of Materials,I really like the amount of resources i found on here. I just can't afford the membership at this time.,i really like the amount of resources i found on here i just cant afford the membership at this time
2024-10-01,ks4,Customer Service,"The website says the planner is available in the US, but then when I check to see when it's arriving it says it's NOT available in the US?!",the website says the planner is available in the us but then when i check to see when its arriving it says its not available in the us
2024-10-01,US Grade 3,Price,"The organization of the materials is also not very user-friendly. Often the resources I need exist, but it takes a lot of effort to find.",the organization of the materials is also not very userfriendly often the resources i need exist but it takes a lot of effort to find
2024-10-01,adult educator,Price,"Price doesn't warrant material. I have found some errors, and this simply shouldn't be. I pay for this!",price doesnt warrant material i have found some errors and this simply shouldnt be i pay for this
2024-10-01,ks2,Price,My school stop paying for it...so I have been paying each month. I just don't want to do that anymore.,my school stop paying for itso i have been paying each month i just dont want to do that anymore
2024-10-01,sen,Resource Quality,"Downloading resources is very difficult, as some of them indicate the path is too long, some need to be extracted, others just don't work.",downloading resources is very difficult as some of them indicate the path is too long some need to be extracted others just dont work
2024-10-01,sen,Resource Quality,Great stuff but I don't use them much and I have to adjust most assignments based on my students needs and end up needing to make more than find things.,great stuff but i dont use them much and i have to adjust most assignments based on my students needs and end up needing to make more than find things
2024-10-01,esl,Variety of Materials,"It is a very good site and I may subscribe again soon, however at this time I am at a new job and I don;t use it.",it is a very good site and i may subscribe again soon however at this time i am at a new job and i dont use it
2024-10-01,US Grade 1,Variety of Materials,"main idea/central message for 1st grade, reading comprehension passages for 1st grade, science/social studies resources for 1st grade",main ideacentral message for 1st grade reading comprehension passages for 1st grade sciencesocial studies resources for 1st grade
2024-10-01,ta,Variety of Materials,"Our district has a lot of new resources, so I can now stop paying for products out of my own pocket. Thank you for what you do.",our district has a lot of new resources so i can now stop paying for products out of my own pocket thank you for what you do
2024-10-01,US Pre K,Customer Service,"You company charge my account after saying I want to cancel. Now I have to report fraud, and my card has been closed so I have to figure out how to pay my bills without a card. Thanks so much for being difficult.",you company charge my account after saying i want to cancel now i have to report fraud and my card has been closed so i have to figure out how to pay my bills without a card thanks so much for being difficult
2024-10-01,sen,Customer Service,"The amount of buttons I had to click to cancel a free trial and prevent auto-renewal was insane. I shouldn't have to ask 4 times to cancel my membership and get bombarded with ads. Also- immediately cancelling a free trial through cancelling your membership (to prevent auto-renewal) is shady business. I won't come back again, thanks.",the amount of buttons i had to click to cancel a free trial and prevent autorenewal was insane i shouldnt have to ask 4 times to cancel my membership and get bombarded with ads also immediately cancelling a free trial through cancelling your membership to prevent autorenewal is shady business i wont come back again thanks
2024-10-01,parent,Ease of Website,It was too hard to login to the app. My ability to set my login and password had expired and I never had time to deal with it until I was forced to “reset” it to cancel before I had to pay for something I was not able to try.,it was too hard to login to the app my ability to set my login and password had expired and i never had time to deal with it until i was forced to “reset” it to cancel before i had to pay for something i was not able to try
2024-10-01,parent,Price,Your site isn’t good I’m paying for nothing and your customer service is horrible nobody ever replies,your site isn’t good i’m paying for nothing and your customer service is horrible nobody ever replies
2024-10-01,slt,Price,Our company security will not let me extract zipped files so I am unable to obtain a majority of the resources.,our company security will not let me extract zipped files so i am unable to obtain a majority of the resources
2024-10-01,US Kindergarten,Price,i cant print out everything easily its always giving me problems. the material is great but that is about it,i cant print out everything easily its always giving me problems the material is great but that is about it
2024-10-01,US Grade 5,Price,Great materials. I just don't need to pay for my materials when I can take the time to make them or find them for free.,great materials i just dont need to pay for my materials when i can take the time to make them or find them for free
2024-10-01,US Grade 4,Resource Quality,"The science resources were inadequate for my needs. Not rigourous enough, variety of science concepts were limited.",the science resources were inadequate for my needs not rigourous enough variety of science concepts were limited
2024-10-01,US Grade 8,Variety of Materials,As my homeschool students have gone into junior high and high school there was no need for these resources anymore.,as my homeschool students have gone into junior high and high school there was no need for these resources anymore
2024-10-01,US Grade 4,Variety of Materials,I absolutely love this site! I've used so many of the resources. I highly recommend it to all my teachers.,i absolutely love this site ive used so many of the resources i highly recommend it to all my teachers
2024-10-01,US Pre K,Price,I absolutely love this website! I just can't afford to pay anything at the moment but I'd love to come back when I can!,i absolutely love this website i just cant afford to pay anything at the moment but id love to come back when i can
2024-10-01,parent,Resource Quality,"I needed a handful of resources for a project that is completed. I am not a teacher or have any use for these resources any further.
 Also it was Hard to figure out how to cancel my membership - and that is rude",i needed a handful of resources for a project that is completed i am not a teacher or have any use for these resources any further also it was hard to figure out how to cancel my membership and that is rude
2024-10-01,US Grade 8,Resource Quality,"Resources not very good....hard to know without downloading, hard to search, cumbersome, lacked many activity types I was hoping for",resources not very goodhard to know without downloading hard to search cumbersome lacked many activity types i was hoping for
2024-10-01,US Grade 7,Resource Quality,I also registered for the free planner and never got it. I also emailed your company and they were going to make sure it was sent and I still didn't receive one.,i also registered for the free planner and never got it i also emailed your company and they were going to make sure it was sent and i still didnt receive one
